Process,Topic,SAP Table,Business Table,Fact/Dim Table,Functional Description,Measures
IT System and Data Integrity,Supplier and Vendor Master Data,BDCP2,Change Pointer,Dim IT Audit,Change pointers used for ALE/IDoc replication and integration status,
IT System and Data Integrity,Supplier and Vendor Master Data,BALHDR,Application Log Header,Fact Integration Audit,Application log header for system exception and interface monitoring,log entry count
IT System and Data Integrity,Supplier and Vendor Master Data,BALDAT,Application Log Data,Fact Integration Audit,Application log data details for integration and process exceptions,log entry count
IT System and Data Integrity,Supplier and Vendor Master Data,EDIDC,IT Audit & Integration,Dim IDoc,IDoc control record for electronic message routing and status tracking,
IT System and Data Integrity,Supplier and Vendor Master Data,EDID4,IT Audit & Integration,Dim IDoc,IDoc data record for payload and integration mapping analysis,
IT System and Data Integrity,Supplier and Vendor Master Data,TBDLS,Logical System,Dim IT System,Logical system registry for distributed SAP integration landscapes,
IT System and Data Integrity,Supplier and Vendor Master Data,DD02L,Table Definition,Dim Data Dictionary,Table definitions for metadata and governance with data object lineage,
IT System and Data Integrity,Supplier and Vendor Master Data,DD03L,Field Definition,Dim Data Dictionary,Field definitions for data governance and harmonization verification,
IT System and Data Integrity,Supplier and Vendor Master Data,T000,Client Master,Dim IT System,Client master record for SAP client-level segmentation and governance,
IT System and Data Integrity,Supplier and Vendor Master Data,USR02,System User Logon,Dim IT System,System user logon data for security and access audit,
IT System and Data Integrity,Supplier and Vendor Master Data,AGR_USERS,Role Assignment,Dim IT System,Role assignments for user authorization and governance,
IT System and Data Integrity,Customer Master Data,CDHDR,Change Document Header,Dim IT Audit,Change document header for data change tracking and governance,
IT System and Data Integrity,Customer Master Data,CDPOS,Change Document Item,Dim IT Audit,Change document item details for field-level change auditing,
IT System and Data Integrity,Customer Master Data,BDCP2,Change Pointer,Dim IT Audit,Change pointers used for ALE/IDoc replication and integration status,
IT System and Data Integrity,Customer Master Data,BALHDR,Application Log Header,Fact Integration Audit,Application log header for system exception and interface monitoring,log entry count
IT System and Data Integrity,Customer Master Data,BALDAT,Application Log Data,Fact Integration Audit,Application log data details for integration and process exceptions,log entry count
IT System and Data Integrity,Customer Master Data,EDIDC,IT Audit & Integration,Dim IDoc,IDoc control record for electronic message routing and status tracking,
IT System and Data Integrity,Customer Master Data,EDID4,IT Audit & Integration,Dim IDoc,IDoc data record for payload and integration mapping analysis,
IT System and Data Integrity,Customer Master Data,TBDLS,Logical System,Dim IT System,Logical system registry for distributed SAP integration landscapes,
IT System and Data Integrity,Customer Master Data,DD02L,Table Definition,Dim Data Dictionary,Table definitions for metadata and governance with data object lineage,
IT System and Data Integrity,Customer Master Data,DD03L,Field Definition,Dim Data Dictionary,Field definitions for data governance and harmonization verification,
IT System and Data Integrity,Customer Master Data,T000,Client Master,Dim IT System,Client master record for SAP client-level segmentation and governance,
IT System and Data Integrity,Customer Master Data,USR02,System User Logon,Dim IT System,System user logon data for security and access audit,
IT System and Data Integrity,Customer Master Data,AGR_USERS,Role Assignment,Dim IT System,Role assignments for user authorization and governance,
IT System and Data Integrity,Product Master Data,CDHDR,Change Document Header,Dim IT Audit,Change document header for data change tracking and governance,
IT System and Data Integrity,Product Master Data,CDPOS,Change Document Item,Dim IT Audit,Change document item details for field-level change auditing,
IT System and Data Integrity,Product Master Data,BDCP2,Change Pointer,Dim IT Audit,Change pointers used for ALE/IDoc replication and integration status,
IT System and Data Integrity,Product Master Data,BALHDR,Application Log Header,Fact Integration Audit,Application log header for system exception and interface monitoring,log entry count
IT System and Data Integrity,Product Master Data,BALDAT,Application Log Data,Fact Integration Audit,Application log data details for integration and process exceptions,log entry count
IT System and Data Integrity,Product Master Data,EDIDC,IT Audit & Integration,Dim IDoc,IDoc control record for electronic message routing and status tracking,
IT System and Data Integrity,Product Master Data,EDID4,IT Audit & Integration,Dim IDoc,IDoc data record for payload and integration mapping analysis,
IT System and Data Integrity,Product Master Data,TBDLS,Logical System,Dim IT System,Logical system registry for distributed SAP integration landscapes,
IT System and Data Integrity,Product Master Data,DD02L,Table Definition,Dim Data Dictionary,Table definitions for metadata and governance with data object lineage,
IT System and Data Integrity,Product Master Data,DD03L,Field Definition,Dim Data Dictionary,Field definitions for data governance and harmonization verification,
IT System and Data Integrity,Product Master Data,T000,Client Master,Dim IT System,Client master record for SAP client-level segmentation and governance,
IT System and Data Integrity,Product Master Data,USR02,System User Logon,Dim IT System,System user logon data for security and access audit,
IT System and Data Integrity,Product Master Data,AGR_USERS,Role Assignment,Dim IT System,Role assignments for user authorization and governance,
IT System and Data Integrity,Hierarchy and data object relations,CDHDR,Change Document Header,Dim IT Audit,Change document header for data change tracking and governance,
IT System and Data Integrity,Hierarchy and data object relations,CDPOS,Change Document Item,Dim IT Audit,Change document item details for field-level change auditing,
IT System and Data Integrity,Hierarchy and data object relations,BDCP2,Change Pointer,Dim IT Audit,Change pointers used for ALE/IDoc replication and integration status,
IT System and Data Integrity,Hierarchy and data object relations,BALHDR,Application Log Header,Fact Integration Audit,Application log header for system exception and interface monitoring,log entry count
IT System and Data Integrity,Hierarchy and data object relations,BALDAT,Application Log Data,Fact Integration Audit,Application log data details for integration and process exceptions,log entry count
IT System and Data Integrity,Hierarchy and data object relations,EDIDC,IT Audit & Integration,Dim IDoc,IDoc control record for electronic message routing and status tracking,
IT System and Data Integrity,Hierarchy and data object relations,EDID4,IT Audit & Integration,Dim IDoc,IDoc data record for payload and integration mapping analysis,
IT System and Data Integrity,Hierarchy and data object relations,TBDLS,Logical System,Dim IT System,Logical system registry for distributed SAP integration landscapes,
IT System and Data Integrity,Hierarchy and data object relations,DD02L,Table Definition,Dim Data Dictionary,Table definitions for metadata and governance with data object lineage,
IT System and Data Integrity,Hierarchy and data object relations,DD03L,Field Definition,Dim Data Dictionary,Field definitions for data governance and harmonization verification,
IT System and Data Integrity,Hierarchy and data object relations,T000,Client Master,Dim IT System,Client master record for SAP client-level segmentation and governance,
IT System and Data Integrity,Hierarchy and data object relations,USR02,System User Logon,Dim IT System,System user logon data for security and access audit,
IT System and Data Integrity,Hierarchy and data object relations,AGR_USERS,Role Assignment,Dim IT System,Role assignments for user authorization and governance,
IT System and Data Integrity,Integration with other IT Systems,CDHDR,Change Document Header,Dim IT Audit,Change document header for data change tracking and governance,
IT System and Data Integrity,Integration with other IT Systems,CDPOS,Change Document Item,Dim IT Audit,Change document item details for field-level change auditing,
IT System and Data Integrity,Integration with other IT Systems,BDCP2,Change Pointer,Dim IT Audit,Change pointers used for ALE/IDoc replication and integration status,
